ano,mes,id_cisp,id_aisp,id_risp,quantidade_arma_fabricacao_caseira,quantidade_carabina,quantidade_espingarda,quantidade_fuzil,quantidade_garrucha,quantidade_garruchao,quantidade_metralhadora,quantidade_outros,quantidade_pistola,quantidade_revolver,quantidade_submetralhadora,total
2007,10,10,2,1,0,0,3,7,1,0,3,0,12,6,0,32
2021,2,105,26,7,0,0,3,0,7,8,0,0,9,11,0,38
2013,10,105,26,7,0,1,4,0,2,0,0,2,5,7,0,21
2021,5,105,26,7,0,0,0,0,9,0,0,0,4,9,0,22
2021,12,106,26,7,0,4,4,0,0,0,0,0,7,6,0,21
2017,10,11,23,1,0,0,5,6,0,0,0,0,12,0,3,26
2017,9,11,23,1,0,0,0,12,0,0,1,0,11,0,0,24
2017,8,110,30,7,1,2,7,0,0,0,0,0,1,10,0,21
2015,8,110,30,7,0,0,29,0,0,0,0,4,1,4,0,38
2017,11,110,30,7,10,0,3,0,0,0,0,0,2,6,0,21
2019,2,110,30,7,0,0,7,0,3,0,0,0,6,6,0,22
2013,11,110,30,7,0,0,1,0,1,0,0,1,3,39,0,45
2008,10,110,30,7,7,0,6,0,1,0,0,0,1,7,0,22
2013,11,118,25,4,29,0,2,0,0,0,0,0,0,2,0,33
2015,12,12,19,1,0,2,16,1,0,0,0,1,0,11,0,31
2016,3,12,19,1,0,0,1,2,0,0,0,0,24,7,1,35
2015,9,120,35,4,8,0,7,0,0,0,0,0,2,4,0,21
2007,7,123,32,6,1,0,2,0,1,0,0,10,4,6,0,24
2007,3,123,32,6,0,0,3,1,0,0,0,1,2,13,0,20
2011,3,123,32,6,0,1,2,2,0,0,1,0,6,8,1,21
2019,4,123,32,6,0,0,0,2,0,0,0,0,14,8,0,24
2018,10,123,32,6,3,0,4,7,1,0,0,0,6,3,0,24
2022,8,123,32,6,0,0,0,3,0,0,0,0,17,1,0,21
2022,7,123,32,6,0,1,2,0,0,0,0,1,10,7,0,21
2020,3,123,32,6,0,0,0,4,0,0,0,0,15,5,0,24
2008,3,123,32,6,0,0,3,0,1,0,0,3,4,9,0,20
2015,12,126,25,4,0,0,1,0,0,0,0,0,15,10,0,26
2019,8,126,25,4,0,0,3,0,0,0,0,0,13,7,0,23
2011,12,126,25,4,1,0,3,0,0,0,0,0,6,12,0,22
2014,10,126,25,4,1,0,0,5,0,0,0,0,13,7,0,26
2016,4,126,25,4,0,0,1,0,0,0,0,0,11,11,0,23
2008,12,126,25,4,0,0,2,0,1,0,0,0,7,14,0,24
2016,3,126,25,4,0,0,0,0,0,0,0,1,12,8,0,21
2014,5,126,25,4,0,0,2,0,0,0,0,1,4,14,0,21
2011,4,126,25,4,0,1,1,0,0,0,0,2,7,11,0,22
2014,8,126,25,4,0,0,3,0,0,0,0,0,30,16,0,49
2015,1,126,25,4,1,1,1,0,0,0,0,0,16,8,0,27
2013,3,126,25,4,0,0,0,0,1,0,0,0,9,11,1,22
2015,8,126,25,4,0,0,0,0,0,0,0,0,7,13,0,20
2017,11,126,25,4,0,0,3,0,0,0,0,0,9,8,0,20
2008,4,126,25,4,0,0,0,0,1,0,0,1,4,14,0,20
2015,3,126,25,4,0,0,1,0,0,0,0,0,14,10,1,26
2007,9,126,25,4,0,0,2,1,1,0,0,3,1,12,0,20
2013,9,126,25,4,0,0,3,7,1,0,0,0,5,6,0,22
2014,3,126,25,4,1,0,2,0,1,0,0,0,9,12,0,25
2024,9,126,25,4,0,0,3,0,0,0,0,0,12,7,0,22
2012,4,126,25,4,0,1,2,0,1,0,0,0,6,10,0,20
2015,11,126,25,4,0,0,0,0,0,0,0,0,13,7,0,20
2018,2,126,25,4,0,0,0,0,0,0,0,1,10,7,2,20
2014,2,126,25,4,0,0,4,1,0,0,0,0,13,13,0,31
2014,1,126,25,4,0,1,2,0,0,0,0,0,4,15,0,22
2015,2,126,25,4,0,0,3,0,0,0,0,0,12,10,1,26
2016,7,128,32,6,0,1,1,1,0,0,0,1,5,10,2,21
2007,8,134,8,6,0,1,5,0,2,0,0,0,1,15,0,24
2009,8,134,8,6,1,0,2,0,1,0,0,0,5,15,0,24
2018,4,134,8,6,0,0,2,1,0,0,0,0,6,13,0,22
2016,11,134,8,6,0,0,5,0,0,0,0,0,6,9,0,20
2013,5,134,8,6,0,0,3,0,0,0,0,0,1,19,0,23
2016,6,134,8,6,0,0,2,0,0,0,0,0,7,17,0,26
2012,12,134,8,6,0,1,2,0,0,0,0,2,3,15,0,23
2015,4,134,8,6,0,0,1,0,1,0,1,1,4,16,1,25
2009,11,134,8,6,0,0,6,1,1,0,0,0,7,26,0,41
2015,1,134,8,6,0,0,1,0,1,0,0,0,3,15,0,20
2010,6,134,8,6,0,0,1,0,1,0,0,0,6,22,0,30
2013,9,134,8,6,1,0,5,1,0,0,0,0,3,16,0,26
2014,3,134,8,6,0,0,7,0,1,0,1,0,7,20,0,36
2013,11,134,8,6,0,0,3,0,0,0,0,0,6,14,0,23
2009,3,134,8,6,0,0,0,0,3,0,0,0,4,16,0,23
2009,7,134,8,6,0,1,7,0,0,0,0,1,1,13,0,23
2009,2,134,8,6,0,0,5,0,1,0,0,0,6,13,0,25
2010,2,134,8,6,0,0,6,0,1,0,0,0,3,14,0,24
2012,2,134,8,6,0,0,7,0,0,0,0,0,6,8,0,21
2013,10,134,8,6,0,1,3,0,2,0,0,0,7,10,0,23
2018,9,134,8,6,0,0,4,0,0,0,0,0,8,11,0,23
2015,3,134,8,6,0,0,2,0,0,0,0,0,6,17,0,25
2010,10,134,8,6,0,0,3,0,1,0,0,2,3,11,0,20
2016,5,134,8,6,0,0,3,0,0,0,0,1,7,15,0,26
2016,10,134,8,6,0,0,6,0,0,0,0,0,7,16,0,29
2009,6,134,8,6,0,0,7,0,0,0,0,1,6,21,0,35
2015,8,134,8,6,1,0,2,0,1,0,0,0,6,10,0,20
2009,5,134,8,6,0,0,2,0,0,0,0,0,2,16,0,20
2011,2,134,8,6,0,0,6,1,1,0,0,0,3,16,0,27
2012,5,134,8,6,0,0,3,0,1,0,1,1,2,15,0,23
2014,4,134,8,6,0,0,5,1,2,0,0,0,12,13,0,33
2016,8,134,8,6,0,0,0,0,0,0,0,0,11,18,0,29
2020,8,134,8,6,0,0,5,0,0,0,0,0,7,10,0,22
2011,3,134,8,6,1,0,2,1,0,0,0,0,1,15,0,20
2017,8,134,8,6,0,0,7,0,3,0,0,0,4,8,0,22
2011,7,134,8,6,0,0,11,0,0,1,0,0,1,12,0,25
2013,3,134,8,6,0,0,4,0,1,0,0,0,2,16,0,23
2015,9,134,8,6,0,0,3,0,0,0,0,0,8,13,0,24
2014,11,134,8,6,0,0,2,0,1,0,0,0,3,18,0,24
2008,11,134,8,6,0,0,3,0,0,0,0,0,4,15,0,22
2009,10,134,8,6,1,0,6,1,0,0,0,0,2,10,0,20
2023,3,134,8,6,0,1,1,0,0,0,0,0,12,7,0,21
2014,10,134,8,6,0,0,2,0,1,0,0,0,0,18,0,21
2008,3,134,8,6,0,1,3,0,0,0,0,1,3,17,0,25
2013,4,134,8,6,0,0,6,0,0,0,0,0,6,13,0,25
2014,1,134,8,6,0,1,5,0,1,0,0,0,6,18,0,31
2009,1,134,8,6,0,0,3,0,0,0,0,0,5,16,0,24
2016,4,134,8,6,0,1,0,0,1,0,0,1,5,19,0,27
2009,4,134,8,6,0,0,2,0,0,0,0,0,5,21,0,28
2012,10,134,8,6,1,0,5,0,0,0,0,0,3,12,0,21
2012,3,134,8,6,0,0,2,0,0,0,0,0,6,18,0,26
2012,9,134,8,6,0,0,2,0,0,0,0,0,5,14,0,21
2010,12,134,8,6,0,0,2,0,1,0,0,1,5,11,0,20
2011,4,134,8,6,0,0,1,0,1,0,0,0,7,15,0,24
2008,7,134,8,6,1,0,2,0,1,0,0,2,2,17,0,25
2010,1,134,8,6,0,0,2,0,2,0,0,0,3,13,0,20
2011,5,134,8,6,3,0,6,0,0,0,0,0,3,9,0,21
2014,8,134,8,6,0,2,3,0,5,0,0,3,2,17,0,32
2008,6,134,8,6,0,0,0,0,0,0,0,0,7,14,0,21
2016,12,134,8,6,0,1,3,0,0,0,0,0,4,16,0,24
2019,5,134,8,6,0,1,4,0,0,0,0,0,3,15,0,23
2007,9,134,8,6,2,0,4,0,0,0,0,1,4,12,0,23
2010,4,134,8,6,0,0,2,0,0,0,0,0,7,13,0,22
2018,5,134,8,6,0,0,6,1,4,1,0,0,5,10,0,27
2017,3,134,8,6,1,0,4,1,2,0,0,0,18,10,1,37
2024,12,134,8,6,0,2,5,0,0,0,0,0,14,5,0,26
2007,10,134,8,6,1,0,7,0,1,0,0,1,2,12,0,24
2015,10,134,8,6,0,1,3,0,1,0,0,0,3,13,0,21
2016,2,134,8,6,0,0,4,0,1,0,0,0,6,10,0,21
2012,7,134,8,6,0,0,2,0,1,0,0,0,3,16,0,22
2019,4,134,8,6,0,0,3,0,0,0,0,0,4,14,0,21
2011,7,143,29,6,1,1,5,0,0,0,0,0,1,15,0,23
2014,6,143,29,6,0,2,19,0,4,2,0,0,1,14,0,42
2011,8,143,29,6,0,0,3,0,9,0,0,0,8,37,0,57
2010,5,143,29,6,0,1,2,1,2,0,0,0,3,11,0,20
2014,9,143,29,6,0,0,13,0,1,0,0,1,2,6,0,23
2007,5,143,29,6,6,0,9,0,3,0,0,1,0,6,0,25
2007,4,143,29,6,0,0,3,0,5,1,0,0,2,10,0,21
2012,4,143,29,6,0,1,10,0,4,0,0,0,1,17,0,33
2017,7,146,8,6,0,0,2,0,1,0,0,0,5,17,0,25
2018,10,146,8,6,0,0,1,1,0,0,0,0,7,14,0,23
2015,8,146,8,6,0,0,3,0,0,1,0,0,5,17,0,26
2018,5,146,8,6,0,0,0,0,0,0,0,0,10,27,0,37
2019,7,146,8,6,1,0,3,0,0,0,0,0,2,20,0,26
2016,7,146,8,6,0,0,1,0,0,0,0,1,5,14,0,21
2007,8,146,8,6,7,0,3,0,3,0,0,1,0,10,0,24
2014,11,146,8,6,1,0,4,0,0,0,0,0,3,16,0,24
2018,8,146,8,6,0,0,3,0,0,0,0,0,10,13,0,26
2008,6,146,8,6,0,0,0,0,2,0,0,0,2,16,0,20
2020,3,146,8,6,0,0,3,0,0,0,0,0,5,17,0,25
2012,2,146,8,6,0,0,1,1,0,0,0,0,4,15,0,21
2014,12,146,8,6,0,0,0,0,0,0,0,0,5,21,0,26
2017,4,146,8,6,0,0,1,0,0,0,0,0,3,20,0,24
2007,11,146,8,6,1,0,4,0,1,0,0,1,3,10,0,20
2011,3,146,8,6,0,0,5,0,2,0,0,0,3,11,0,21
2016,4,146,8,6,0,0,4,0,0,0,0,0,9,27,0,40
2018,4,146,8,6,0,0,4,0,0,0,0,0,2,14,0,20
2016,5,146,8,6,0,0,5,0,0,0,0,0,12,20,0,37
2019,3,146,8,6,0,0,5,0,1,0,0,0,9,27,0,42
2014,9,146,8,6,0,0,0,0,1,0,0,0,6,18,1,26
2016,12,146,8,6,0,0,4,0,0,0,1,0,9,9,0,23
2013,4,146,8,6,0,0,1,0,1,0,0,0,5,13,0,20
2009,5,146,8,6,0,0,3,0,0,0,0,0,3,15,0,21
2007,5,146,8,6,0,0,4,0,0,0,0,1,4,14,0,23
2021,5,146,8,6,0,0,0,0,0,0,0,0,5,18,0,23
2018,3,146,8,6,0,0,0,0,0,0,0,0,3,18,0,21
2012,3,146,8,6,0,0,2,0,0,0,0,0,3,20,0,25
2018,6,146,8,6,0,0,4,0,0,0,0,0,5,28,0,37
2011,4,146,8,6,0,0,8,0,0,0,0,0,2,13,0,23
2017,1,146,8,6,0,0,2,0,0,0,0,2,4,20,0,28
2016,3,146,8,6,0,0,2,0,0,0,0,0,4,18,0,24
2013,5,146,8,6,0,0,2,0,2,0,0,0,1,16,0,21
2013,10,146,8,6,1,1,2,0,0,0,0,0,2,18,0,24
2014,8,146,8,6,0,1,2,0,1,0,0,0,3,19,0,26
2014,4,146,8,6,0,0,2,0,2,0,0,0,2,22,0,28
2016,8,146,8,6,0,0,3,0,1,0,0,1,3,14,0,22
2017,3,146,8,6,0,0,0,0,0,0,0,0,9,13,0,22
2009,6,146,8,6,1,0,3,0,2,0,0,0,0,16,0,22
2018,9,146,8,6,0,0,2,0,0,0,0,0,2,18,0,22
2015,6,146,8,6,1,0,4,0,0,0,0,0,1,17,0,23
2020,8,146,8,6,0,0,0,0,1,1,0,0,5,17,0,24
2016,2,146,8,6,0,0,7,0,1,0,0,0,3,18,0,29
2019,2,146,8,6,0,0,1,0,0,0,0,0,9,16,1,27
2016,11,146,8,6,1,0,2,0,0,0,0,3,5,10,0,21
2007,1,146,8,6,1,1,5,0,0,0,1,0,4,8,0,20
2008,10,146,8,6,0,0,3,0,0,0,0,0,1,18,0,22
2019,5,146,8,6,0,0,0,0,0,0,0,0,5,16,1,22
2008,2,146,8,6,0,0,0,0,0,0,0,0,10,14,0,24
2018,12,146,8,6,0,0,1,0,0,0,0,0,4,17,0,22
2013,3,146,8,6,0,0,1,0,2,0,0,0,2,15,0,20
2018,7,146,8,6,1,1,1,0,0,0,0,0,6,15,0,24
2015,4,146,8,6,0,0,2,0,0,0,0,0,1,20,0,23
2015,3,146,8,6,0,0,1,0,0,0,0,0,3,20,0,24
2016,1,146,8,6,0,0,1,0,0,0,0,0,4,20,0,25
2018,8,147,8,6,0,0,14,1,2,0,0,0,2,3,0,22
2008,2,15,23,1,0,1,5,7,0,0,3,0,8,8,0,32
2011,11,15,23,1,0,4,13,56,2,0,5,4,33,3,3,123
2018,5,151,11,7,2,3,19,0,6,0,1,0,5,13,0,49
2007,4,151,11,7,0,1,8,1,1,0,0,1,8,3,0,23
2013,7,151,11,7,0,2,7,0,1,1,0,0,3,6,0,20
2017,7,151,11,7,0,3,5,0,5,1,0,1,4,7,0,26
2009,10,151,11,7,7,0,8,0,1,0,0,1,2,7,0,26
2019,3,151,11,7,0,0,4,0,2,0,0,0,5,11,0,22
2008,9,151,11,7,0,0,2,0,0,0,0,6,2,10,0,20
2007,9,159,35,4,9,0,10,0,2,0,0,2,0,1,0,24
2009,11,159,35,4,15,0,5,0,0,0,0,0,0,2,0,22
2007,2,159,35,4,35,0,10,0,2,0,0,0,2,3,0,52
2007,5,159,35,4,12,0,7,0,0,0,0,0,0,1,0,20
2008,5,159,35,4,3,0,10,0,0,0,0,0,1,6,0,20
2007,3,159,35,4,11,1,3,0,0,0,0,0,1,4,0,20
2016,4,16,31,2,0,3,4,2,0,0,0,0,7,6,3,25
2023,2,16,31,2,0,0,0,3,0,0,0,0,16,4,0,23
2024,10,16,31,2,0,0,2,11,0,0,0,0,10,0,0,23
2024,7,165,33,5,25,0,7,0,0,0,0,0,0,0,0,32
2018,6,166,33,5,0,0,4,2,0,0,0,0,10,6,0,22
2021,3,166,33,5,9,0,1,0,0,0,0,0,8,3,0,21
2008,7,166,33,5,0,4,5,0,0,0,0,5,2,4,0,20
2015,3,166,33,5,4,0,3,0,0,0,0,4,3,9,0,23
2018,1,166,33,5,1,0,1,2,0,0,0,0,12,6,0,22
2019,5,166,33,5,0,0,1,7,0,0,0,0,12,4,0,24
2007,10,166,33,5,0,0,4,0,1,0,0,0,6,10,0,21
2016,10,166,33,5,8,0,4,0,0,0,0,0,7,4,0,23
2007,5,166,33,5,6,2,5,0,0,0,0,6,2,5,0,26
2019,11,166,33,5,0,1,2,3,0,0,0,0,15,1,0,22
2023,4,166,33,5,0,0,3,3,0,0,0,1,13,0,0,20
2009,12,166,33,5,0,0,7,0,1,0,0,1,4,11,0,24
2018,9,166,33,5,1,0,2,0,0,0,0,0,10,7,0,20
2012,9,166,33,5,8,0,10,0,0,1,0,0,2,4,0,25
2017,5,166,33,5,8,0,3,0,0,0,0,0,15,4,0,30
2018,7,166,33,5,1,0,1,4,0,0,0,0,21,4,0,31
2021,5,166,33,5,4,0,11,0,0,0,0,0,5,1,0,21
2008,5,166,33,5,0,2,7,0,2,0,0,3,3,3,0,20
2017,9,166,33,5,0,1,1,0,0,0,0,0,14,5,0,21
2015,8,166,33,5,1,0,5,0,0,0,1,0,10,6,0,23
2018,11,166,33,5,0,0,1,1,0,0,0,0,12,7,0,21
2008,10,166,33,5,8,0,11,0,0,0,0,2,8,6,0,35
2009,5,166,33,5,8,0,3,0,1,0,0,2,0,6,0,20
2007,3,166,33,5,0,0,6,0,0,0,0,5,1,10,0,22
2016,1,166,33,5,11,0,4,0,0,0,0,0,6,5,0,26
2018,8,166,33,5,0,0,4,2,0,0,1,1,11,2,0,21
2008,1,166,33,5,0,0,6,0,1,0,0,9,2,8,0,26
2016,12,167,33,5,20,1,3,0,0,0,0,0,1,1,0,26
2017,8,17,4,1,0,0,0,4,0,0,0,0,18,8,0,30
2017,11,17,4,1,0,0,0,16,0,0,0,0,4,2,0,22
2009,11,17,4,1,0,6,3,0,0,0,0,0,9,4,0,22
2022,1,20,6,1,0,1,1,26,0,0,0,2,23,3,0,56
2022,2,20,6,1,0,3,4,0,0,0,0,0,10,5,0,22
2017,10,21,22,1,0,0,1,5,0,0,0,0,9,6,0,21
2014,1,21,22,1,0,1,3,1,0,0,0,0,11,4,1,21
2019,7,21,22,1,0,0,2,24,0,0,4,0,15,10,0,55
2007,6,21,22,1,0,0,2,5,0,0,2,0,8,9,0,26
2007,11,21,22,1,0,2,2,3,0,0,0,0,8,7,0,22
2009,10,21,22,1,1,1,2,0,0,0,0,1,14,2,1,22
2024,9,21,22,1,1,0,1,11,1,0,0,0,9,2,0,25
2010,5,21,22,1,0,0,2,2,0,0,0,0,12,5,0,21
2023,4,21,22,1,0,0,2,7,0,0,0,0,15,1,0,25
2009,9,21,22,1,0,1,1,8,0,0,1,0,15,8,0,34
2012,11,21,22,1,0,1,0,11,0,0,4,0,9,5,1,31
2011,11,21,22,1,0,1,0,14,0,0,0,0,10,2,0,27
2009,11,21,22,1,0,0,0,1,0,0,1,0,17,8,0,27
2010,11,21,22,1,0,0,0,5,0,0,1,0,11,3,1,21
2007,2,21,22,1,0,0,2,2,0,0,0,0,7,10,0,21
2015,3,21,22,1,0,2,2,0,0,0,0,0,4,23,0,31
2017,9,21,22,1,0,0,0,5,0,0,0,1,15,4,0,25
2009,3,21,22,1,0,2,7,1,0,0,0,0,8,5,0,23
2007,5,21,22,1,0,0,0,2,0,0,0,0,10,9,0,21
2024,6,21,22,1,0,0,1,12,0,0,1,0,9,4,0,27
2008,3,21,22,1,0,0,0,1,0,0,1,0,6,14,0,22
2008,6,21,22,1,0,2,2,1,0,0,0,0,16,13,0,34
2016,9,21,22,1,0,0,5,3,0,0,0,0,13,10,0,31
2010,1,21,22,1,0,1,1,3,0,0,1,0,12,3,0,21
2017,1,21,22,1,0,0,0,3,0,0,1,0,10,6,0,20
2007,1,21,22,1,0,0,3,1,0,0,0,0,7,9,0,20
2014,3,21,22,1,0,0,0,2,1,0,0,0,21,7,0,31
2011,10,21,22,1,0,0,3,3,0,0,1,0,10,4,0,21
2007,8,21,22,1,0,0,1,3,0,0,0,0,9,8,0,21
2017,5,21,22,1,0,0,0,1,0,0,0,0,13,5,1,20
2008,5,22,16,1,0,0,5,1,2,1,0,0,7,12,0,28
2008,10,22,16,1,0,1,0,0,1,0,0,0,7,11,0,20
2007,2,22,16,1,0,0,2,3,1,0,0,0,5,17,1,29
2007,10,22,16,1,0,0,0,1,0,0,1,0,11,7,0,20
2008,3,22,16,1,0,2,2,2,1,0,0,0,6,11,0,24
2007,4,22,16,1,0,0,2,0,1,0,1,0,6,19,0,29
2010,11,22,16,1,0,8,24,62,0,0,30,2,49,17,9,201
2007,9,22,16,1,0,0,1,3,0,0,1,1,21,22,0,49
2010,12,22,16,1,0,1,1,26,0,0,5,4,18,1,3,59
2007,8,22,16,1,0,1,1,0,0,0,0,0,13,18,0,33
2007,6,22,16,1,0,0,0,0,0,0,1,0,5,19,0,25
2007,5,22,16,1,0,0,5,3,0,0,0,0,17,15,0,40
2007,12,22,16,1,0,3,0,0,1,0,0,0,6,15,0,25
2008,6,22,16,1,0,1,1,3,2,0,0,1,6,11,0,25
2007,11,22,16,1,1,1,0,5,2,0,1,0,5,22,0,37
2008,1,22,16,1,0,0,3,2,2,0,0,0,10,16,0,33
2018,8,22,16,1,0,0,2,8,0,0,0,0,18,4,0,32
2007,1,22,16,1,0,2,7,1,0,0,0,3,6,14,0,33
2012,12,22,16,1,0,0,3,4,0,0,0,0,12,1,2,22
2008,9,22,16,1,0,0,3,2,1,0,1,0,7,6,0,20
2022,5,22,16,1,0,0,0,10,0,0,0,0,9,1,0,20
2008,4,22,16,1,0,0,8,5,0,0,2,0,16,11,0,42
2007,3,22,16,1,1,0,4,5,2,0,1,0,4,7,0,24
2007,7,22,16,1,0,0,4,0,0,0,1,1,2,16,0,24
2008,2,22,16,1,0,0,1,0,2,0,0,0,8,11,0,22
2013,4,22,16,1,0,0,2,0,1,0,0,0,12,5,0,20
2007,1,23,3,1,13,0,14,0,0,0,0,0,4,1,0,32
2007,2,23,3,1,23,2,19,0,1,0,0,2,0,2,0,49
2007,3,23,3,1,35,0,0,0,0,0,0,0,1,3,0,39
2007,11,25,3,1,0,0,1,0,1,0,0,0,6,12,0,20
2007,10,25,3,1,0,4,4,1,0,0,2,0,2,9,0,22
2008,11,25,3,1,0,0,2,1,0,0,1,0,14,8,0,26
2007,3,25,3,1,9,0,4,0,0,0,0,0,3,6,0,22
2007,1,25,3,1,5,0,9,0,1,0,0,1,3,5,0,24
2007,5,25,3,1,0,0,0,1,0,0,1,0,15,8,0,25
2007,7,25,3,1,0,0,1,0,0,0,1,1,8,13,0,24
2021,5,25,3,1,0,0,3,5,0,0,0,0,19,0,1,28
2007,3,27,41,2,0,0,1,3,0,0,0,0,6,14,0,24
2008,11,27,41,2,0,0,0,0,0,0,0,0,14,6,0,20
2019,4,29,9,2,0,0,0,7,0,0,0,1,9,3,0,20
2014,12,29,9,2,0,0,1,1,1,0,0,0,17,3,0,23
2007,9,29,9,2,0,2,0,0,0,0,0,0,9,10,0,21
2014,5,29,9,2,0,0,0,7,0,0,0,0,17,0,0,24
2019,12,31,41,2,0,1,3,3,0,0,0,0,5,11,0,23
2016,11,32,18,2,0,1,0,6,0,0,0,0,12,1,0,20
2023,2,32,18,2,0,0,0,2,0,0,0,0,16,2,0,20
2019,4,32,18,2,0,0,1,2,0,0,0,0,15,2,0,20
2016,6,32,18,2,0,0,0,0,0,0,0,0,14,6,0,20
2020,7,32,18,2,0,4,7,0,1,0,2,0,16,28,0,58
2024,8,32,18,2,0,0,1,10,0,0,0,0,10,1,0,22
2019,10,32,18,2,0,0,1,3,0,0,0,2,19,3,0,28
2018,5,32,18,2,0,0,0,2,0,0,0,0,24,2,0,28
2024,2,32,18,2,0,2,0,9,0,0,0,0,10,2,0,23
2024,5,32,18,2,0,0,2,5,0,0,0,0,19,1,0,27
2018,11,32,18,2,0,0,5,6,0,0,0,0,13,2,0,26
2008,4,32,18,2,0,0,1,9,0,0,0,0,16,5,0,31
2019,1,32,18,2,0,0,0,0,0,0,0,0,17,3,0,20
2009,12,33,14,2,0,1,1,6,0,0,0,0,14,5,0,27
2024,5,33,14,2,0,0,0,0,0,0,0,5,19,2,0,26
2007,6,34,14,2,0,0,0,0,0,0,0,1,10,12,0,23
2019,6,34,14,2,0,0,1,4,0,0,0,0,16,1,0,22
2022,9,34,14,2,0,0,1,2,0,0,0,0,16,2,0,21
2010,5,34,14,2,0,0,1,3,0,0,0,0,16,9,0,29
2012,7,34,14,2,0,0,0,6,0,0,0,0,11,9,2,28
2013,3,34,14,2,1,0,0,6,0,0,3,0,16,2,0,28
2013,2,34,14,2,0,0,0,7,0,0,1,0,14,3,0,25
2014,10,34,14,2,0,0,0,3,0,0,0,1,16,6,0,26
2010,7,34,14,2,0,1,0,2,0,0,2,0,16,8,0,29
2011,6,34,14,2,0,0,1,2,0,0,0,0,12,6,0,21
2007,10,34,14,2,0,0,0,3,0,0,1,0,10,7,0,21
2014,7,34,14,2,0,2,1,3,0,0,2,1,10,8,0,27
2018,6,34,14,2,0,0,0,2,0,0,0,0,13,5,0,20
2023,4,34,14,2,0,0,0,6,1,0,0,0,11,2,0,20
2020,1,34,14,2,0,0,1,3,0,0,0,0,16,3,0,23
2020,2,34,14,2,0,1,0,6,0,0,0,0,15,2,0,24
2021,1,34,14,2,0,0,0,4,0,0,0,0,15,1,1,21
2009,2,34,14,2,0,0,0,2,0,0,0,0,15,7,0,24
2012,1,34,14,2,0,1,1,8,0,0,0,0,12,3,0,25
2007,5,34,14,2,0,0,0,2,0,0,0,0,9,9,0,20
2015,6,34,14,2,0,0,5,1,0,0,0,0,19,7,0,32
2017,1,34,14,2,0,0,1,3,0,0,0,0,15,10,0,29
2019,12,34,14,2,0,1,0,6,0,0,0,0,16,1,0,24
2016,3,34,14,2,0,0,1,2,0,0,0,1,15,8,0,27
2013,10,34,14,2,0,1,1,1,1,0,0,0,18,6,0,28
2017,3,34,14,2,0,0,0,2,0,0,0,0,15,4,0,21
2010,4,34,14,2,0,1,3,2,0,0,3,0,15,10,0,34
2013,1,34,14,2,0,0,0,4,0,0,0,0,14,2,0,20
2007,3,34,14,2,0,0,3,3,0,0,1,0,8,9,0,24
2010,12,34,14,2,0,0,0,0,0,0,2,0,11,8,0,21
2019,8,34,14,2,0,0,0,5,0,0,0,0,17,2,0,24
2014,6,34,14,2,0,0,0,2,0,0,0,0,19,7,1,29
2014,11,34,14,2,0,0,0,6,0,0,1,0,11,2,0,20
2019,7,34,14,2,0,1,1,8,0,0,0,0,12,1,0,23
2010,6,34,14,2,0,0,1,2,0,0,0,2,8,12,0,25
2015,4,34,14,2,0,0,0,2,0,0,1,1,17,6,1,28
2008,4,34,14,2,0,0,2,2,0,0,2,0,10,13,0,29
2017,11,34,14,2,0,2,2,1,0,0,0,0,16,10,1,32
2018,9,34,14,2,0,0,1,4,0,0,0,0,5,11,0,21
2009,11,34,14,2,0,0,0,1,0,0,0,0,16,13,0,30
2009,3,34,14,2,0,0,1,5,0,0,1,0,12,8,0,27
2015,1,34,14,2,0,1,0,6,0,0,0,0,13,9,0,29
2020,4,34,14,2,0,0,0,4,0,0,0,0,15,1,0,20
2018,4,34,14,2,0,0,2,1,0,0,0,0,14,3,0,20
2009,12,34,14,2,0,1,1,0,0,0,1,1,11,8,0,23
2021,2,34,14,2,0,0,0,1,0,0,0,0,18,2,0,21
2010,1,34,14,2,0,1,0,1,0,0,1,0,8,9,1,21
2017,5,34,14,2,0,0,0,4,0,0,0,0,10,6,0,20
2019,5,34,14,2,0,1,1,4,0,0,1,0,13,4,0,24
2012,3,34,14,2,0,0,0,2,0,0,1,0,16,6,0,25
2017,6,34,14,2,0,0,1,3,0,0,0,0,16,5,0,25
2017,10,34,14,2,0,0,0,6,0,0,0,0,14,1,0,21
2009,9,34,14,2,0,1,3,1,0,0,0,0,9,10,1,25
2015,3,34,14,2,0,0,1,4,0,0,0,0,11,6,0,22
2021,3,34,14,2,0,0,1,8,0,0,0,0,8,4,0,21
2014,3,34,14,2,0,0,0,5,0,0,1,0,10,6,0,22
2016,5,34,14,2,0,0,1,1,0,0,0,0,16,4,0,22
2023,3,34,14,2,0,1,1,7,0,0,0,0,8,5,0,22
2009,8,34,14,2,0,1,3,4,0,0,0,0,16,6,0,30
2011,12,34,14,2,0,0,0,5,0,0,0,0,12,5,0,22
2009,10,34,14,2,0,0,0,0,0,0,0,0,13,9,0,22
2011,11,34,14,2,0,0,0,4,0,0,3,0,11,5,0,23
2016,12,34,14,2,1,1,0,7,0,0,0,0,12,2,0,23
2022,11,34,14,2,1,2,0,5,0,0,0,0,14,6,0,28
2013,4,34,14,2,0,0,1,2,0,0,1,0,18,9,0,31
2016,2,34,14,2,0,0,0,1,0,0,0,1,12,9,0,23
